"employee_key","target_month","target_value"
284,2020-04-01,"$500,000"
284,2020-07-01,"$500,000"
284,2020-08-01,"$500,000"
284,2020-10-01,"$500,000"
284,2020-11-01,"$500,000"
288,2020-06-01,"$500,000"
288,2020-07-01,"$500,000"
288,2020-08-01,"$500,000"
288,2020-10-01,"$500,000"
288,2020-11-01,"$500,000"
291,2020-02-01,"$500,000"
291,2020-03-01,"$500,000"
291,2020-12-01,"$500,000"
285,2020-12-01,"$500,000"
281,2020-03-01,"$500,000"
281,2020-07-01,"$500,000"
281,2020-08-01,"$500,000"
281,2020-09-01,"$500,000"
281,2020-10-01,"$500,000"
281,2020-11-01,"$500,000"
281,2020-12-01,"$500,000"
290,2020-01-01,"$500,000"
290,2020-02-01,"$500,000"
290,2020-03-01,"$500,000"
290,2020-10-01,"$500,000"
290,2020-12-01,"$500,000"
289,2020-05-01,"$500,000"
289,2020-10-01,"$500,000"
289,2020-11-01,"$500,000"
293,2021-01-01,"$500,000"
293,2021-02-01,"$500,000"
293,2021-03-01,"$500,000"
293,2021-04-01,"$500,000"
293,2021-05-01,"$500,000"
293,2021-06-01,"$500,000"
292,2021-02-01,"$500,000"
292,2021-03-01,"$500,000"
292,2021-04-01,"$500,000"
292,2021-05-01,"$500,000"
292,2021-06-01,"$500,000"
287,2021-01-01,"$500,000"
287,2021-02-01,"$500,000"
287,2021-03-01,"$500,000"
287,2021-12-01,"$500,000"
282,2021-01-01,"$500,000"
282,2021-02-01,"$500,000"
284,2021-02-01,"$500,000"
284,2021-03-01,"$500,000"
284,2021-04-01,"$500,000"
284,2021-05-01,"$500,000"
284,2021-06-01,"$500,000"
284,2021-07-01,"$500,000"
284,2021-08-01,"$500,000"
284,2021-10-01,"$500,000"
284,2021-11-01,"$500,000"
288,2021-01-01,"$500,000"
288,2021-02-01,"$500,000"
288,2021-03-01,"$500,000"
288,2021-04-01,"$500,000"
288,2021-05-01,"$500,000"
288,2021-06-01,"$500,000"
283,2021-03-01,"$500,000"
283,2021-04-01,"$500,000"
283,2021-05-01,"$500,000"
283,2021-06-01,"$500,000"
283,2021-07-01,"$500,000"
283,2021-08-01,"$500,000"
283,2021-09-01,"$500,000"
283,2021-10-01,"$500,000"
283,2021-11-01,"$500,000"
283,2021-12-01,"$500,000"
291,2021-02-01,"$500,000"
291,2021-03-01,"$500,000"
285,2021-07-01,"$500,000"
285,2021-08-01,"$500,000"
285,2021-09-01,"$500,000"
285,2021-10-01,"$500,000"
285,2021-11-01,"$500,000"
285,2021-12-01,"$500,000"
281,2021-01-01,"$500,000"
281,2021-02-01,"$500,000"
281,2021-03-01,"$500,000"
281,2021-04-01,"$500,000"
281,2021-07-01,"$500,000"
281,2021-08-01,"$500,000"
281,2021-09-01,"$500,000"
281,2021-10-01,"$500,000"
281,2021-11-01,"$500,000"
281,2021-12-01,"$500,000"
290,2021-01-01,"$500,000"
290,2021-02-01,"$500,000"
290,2021-03-01,"$500,000"
289,2021-01-01,"$500,000"
289,2021-02-01,"$500,000"
289,2021-03-01,"$500,000"
289,2021-04-01,"$500,000"
289,2021-05-01,"$500,000"
289,2021-06-01,"$500,000"
286,2017-07-01,"$200,000"
293,2017-08-01,"$200,000"
287,2017-08-01,"$200,000"
282,2017-10-01,"$200,000"
284,2017-08-01,"$200,000"
288,2017-08-01,"$200,000"
283,2017-11-01,"$200,000"
283,2017-12-01,"$200,000"
285,2017-08-01,"$200,000"
289,2017-08-01,"$200,000"
286,2018-01-01,"$200,000"
286,2018-04-01,"$200,000"
293,2018-02-01,"$200,000"
287,2018-02-01,"$200,000"
287,2018-04-01,"$200,000"
282,2018-04-01,"$200,000"
284,2018-03-01,"$200,000"
284,2018-05-01,"$200,000"
288,2018-03-01,"$200,000"
288,2018-05-01,"$200,000"
283,2018-05-01,"$200,000"
283,2018-06-01,"$200,000"
283,2018-10-01,"$200,000"
283,2018-11-01,"$200,000"
291,2018-07-01,"$200,000"
291,2018-12-01,"$200,000"
285,2018-05-01,"$200,000"
285,2018-06-01,"$200,000"
285,2018-08-01,"$200,000"
285,2018-09-01,"$200,000"
285,2018-10-01,"$200,000"
285,2018-11-01,"$200,000"
285,2018-12-01,"$200,000"
290,2018-07-01,"$200,000"
290,2018-12-01,"$200,000"
289,2018-03-01,"$200,000"
289,2018-09-01,"$200,000"
293,2019-02-01,"$200,000"
293,2019-03-01,"$200,000"
293,2019-04-01,"$200,000"
288,2019-01-01,"$200,000"
294,2019-12-01,"$200,000"
272,2019-06-01,"$200,000"
283,2019-02-01,"$200,000"
283,2019-05-01,"$200,000"
283,2019-06-01,"$200,000"
283,2019-07-01,"$200,000"
291,2019-03-01,"$200,000"
291,2019-06-01,"$200,000"
291,2019-07-01,"$200,000"
291,2019-08-01,"$200,000"
291,2019-11-01,"$200,000"
285,2019-03-01,"$200,000"
285,2019-04-01,"$200,000"
285,2019-08-01,"$200,000"
285,2019-11-01,"$200,000"
295,2019-12-01,"$200,000"
290,2019-03-01,"$200,000"
290,2019-06-01,"$200,000"
289,2019-03-01,"$200,000"
292,2020-01-01,"$200,000"
292,2020-03-01,"$200,000"
292,2020-05-01,"$200,000"
284,2020-01-01,"$200,000"
283,2020-02-01,"$200,000"
285,2020-01-01,"$200,000"
285,2020-02-01,"$200,000"
285,2020-03-01,"$200,000"
285,2020-04-01,"$200,000"
285,2020-05-01,"$200,000"
285,2020-06-01,"$200,000"
295,2020-06-01,"$200,000"
296,2021-06-01,"$200,000"
277,2017-09-01,"$1,000,000"
277,2017-10-01,"$1,000,000"
272,2017-09-01,"$1,000,000"
272,2017-10-01,"$1,000,000"
281,2017-11-01,"$1,000,000"
281,2017-12-01,"$1,000,000"
286,2018-03-01,"$1,000,000"
286,2018-11-01,"$1,000,000"
281,2018-11-01,"$1,000,000"
281,2018-12-01,"$1,000,000"
286,2019-10-01,"$1,000,000"
286,2019-11-01,"$1,000,000"
286,2019-12-01,"$1,000,000"
277,2019-01-01,"$1,000,000"
287,2019-07-01,"$1,000,000"
282,2019-07-01,"$1,000,000"
282,2019-08-01,"$1,000,000"
290,2019-08-01,"$1,000,000"
290,2019-09-01,"$1,000,000"
289,2019-09-01,"$1,000,000"
286,2020-10-01,"$1,000,000"
286,2020-11-01,"$1,000,000"
286,2020-12-01,"$1,000,000"
287,2020-07-01,"$1,000,000"
287,2020-09-01,"$1,000,000"
282,2020-05-01,"$1,000,000"
282,2020-07-01,"$1,000,000"
282,2020-08-01,"$1,000,000"
282,2020-09-01,"$1,000,000"
282,2020-10-01,"$1,000,000"
290,2020-05-01,"$1,000,000"
290,2020-06-01,"$1,000,000"
290,2020-08-01,"$1,000,000"
290,2020-09-01,"$1,000,000"
290,2020-11-01,"$1,000,000"
289,2020-08-01,"$1,000,000"
289,2020-09-01,"$1,000,000"
286,2021-01-01,"$1,000,000"
286,2021-02-01,"$1,000,000"
286,2021-03-01,"$1,000,000"
286,2021-04-01,"$1,000,000"
286,2021-05-01,"$1,000,000"
286,2021-10-01,"$1,000,000"
286,2021-11-01,"$1,000,000"
286,2021-12-01,"$1,000,000"
287,2021-04-01,"$1,000,000"
287,2021-05-01,"$1,000,000"
287,2021-06-01,"$1,000,000"
287,2021-07-01,"$1,000,000"
287,2021-09-01,"$1,000,000"
287,2021-10-01,"$1,000,000"
287,2021-11-01,"$1,000,000"
282,2021-03-01,"$1,000,000"
282,2021-04-01,"$1,000,000"
282,2021-05-01,"$1,000,000"
282,2021-06-01,"$1,000,000"
282,2021-07-01,"$1,000,000"
282,2021-08-01,"$1,000,000"
282,2021-09-01,"$1,000,000"
282,2021-10-01,"$1,000,000"
282,2021-11-01,"$1,000,000"
282,2021-12-01,"$1,000,000"
284,2021-09-01,"$1,000,000"
284,2021-12-01,"$1,000,000"
291,2021-05-01,"$1,000,000"
291,2021-06-01,"$1,000,000"
281,2021-05-01,"$1,000,000"
281,2021-06-01,"$1,000,000"
290,2021-04-01,"$1,000,000"
290,2021-05-01,"$1,000,000"
290,2021-06-01,"$1,000,000"
293,2018-09-01,"$250,000"
293,2018-10-01,"$250,000"
292,2018-09-01,"$250,000"
283,2018-07-01,"$250,000"
283,2018-09-01,"$250,000"
289,2018-10-01,"$250,000"
287,2019-01-01,"$250,000"
284,2019-01-01,"$250,000"
288,2019-12-01,"$250,000"
281,2019-01-01,"$250,000"
293,2020-07-01,"$250,000"
293,2020-10-01,"$250,000"
292,2020-07-01,"$250,000"
292,2020-09-01,"$250,000"
292,2020-10-01,"$250,000"
292,2020-12-01,"$250,000"
288,2020-01-01,"$250,000"
288,2020-12-01,"$250,000"
294,2020-07-01,"$250,000"
294,2020-08-01,"$250,000"
294,2020-09-01,"$250,000"
294,2020-10-01,"$250,000"
294,2020-11-01,"$250,000"
294,2020-12-01,"$250,000"
283,2020-03-01,"$250,000"
283,2020-04-01,"$250,000"
283,2020-07-01,"$250,000"
283,2020-08-01,"$250,000"
283,2020-09-01,"$250,000"
283,2020-10-01,"$250,000"
283,2020-11-01,"$250,000"
283,2020-12-01,"$250,000"
291,2020-07-01,"$250,000"
291,2020-08-01,"$250,000"
291,2020-11-01,"$250,000"
285,2020-07-01,"$250,000"
285,2020-08-01,"$250,000"
285,2020-09-01,"$250,000"
285,2020-10-01,"$250,000"
285,2020-11-01,"$250,000"
296,2020-07-01,"$250,000"
296,2020-08-01,"$250,000"
296,2020-09-01,"$250,000"
296,2020-10-01,"$250,000"
296,2020-11-01,"$250,000"
296,2020-12-01,"$250,000"
295,2020-07-01,"$250,000"
295,2020-08-01,"$250,000"
295,2020-09-01,"$250,000"
295,2020-10-01,"$250,000"
295,2020-11-01,"$250,000"
295,2020-12-01,"$250,000"
290,2020-07-01,"$250,000"
289,2020-01-01,"$250,000"
289,2020-07-01,"$250,000"
292,2021-01-01,"$250,000"
284,2021-01-01,"$250,000"
283,2021-01-01,"$250,000"
283,2021-02-01,"$250,000"
291,2021-01-01,"$250,000"
285,2021-01-01,"$250,000"
285,2021-02-01,"$250,000"
285,2021-03-01,"$250,000"
285,2021-04-01,"$250,000"
285,2021-05-01,"$250,000"
285,2021-06-01,"$250,000"
286,2017-08-01,"$400,000"
286,2017-09-01,"$600,000"
286,2017-10-01,"$400,000"
286,2017-11-01,"$800,000"
286,2017-12-01,"$800,000"
293,2017-07-01,"$100,000"
293,2017-09-01,"$300,000"
293,2017-10-01,"$400,000"
293,2017-11-01,"$400,000"
277,2017-08-01,"$1,500,000"
277,2017-11-01,"$2,200,000"
277,2017-12-01,"$1,750,000"
287,2017-07-01,"$100,000"
287,2017-09-01,"$300,000"
287,2017-10-01,"$300,000"
287,2017-11-01,"$300,000"
282,2017-07-01,"$100,000"
282,2017-08-01,"$450,000"
282,2017-11-01,"$750,000"
282,2017-12-01,"$750,000"
284,2017-07-01,"$100,000"
284,2017-09-01,"$300,000"
284,2017-10-01,"$300,000"
284,2017-11-01,"$300,000"
284,2017-12-01,"$300,000"
288,2017-07-01,"$100,000"
288,2017-09-01,"$300,000"
288,2017-10-01,"$300,000"
288,2017-11-01,"$300,000"
288,2017-12-01,"$300,000"
272,2017-08-01,"$1,500,000"
272,2017-11-01,"$2,200,000"
272,2017-12-01,"$1,750,000"
283,2017-08-01,"$100,000"
283,2017-09-01,"$100,000"
283,2017-10-01,"$100,000"
285,2017-07-01,"$100,000"
285,2017-09-01,"$300,000"
285,2017-10-01,"$100,000"
285,2017-11-01,"$300,000"
281,2017-07-01,"$100,000"
281,2017-09-01,"$400,000"
281,2017-10-01,"$400,000"
289,2017-07-01,"$100,000"
289,2017-09-01,"$300,000"
289,2017-10-01,"$400,000"
289,2017-11-01,"$400,000"
286,2018-05-01,"$750,000"
286,2018-06-01,"$1,250,000"
286,2018-07-01,"$700,000"
286,2018-08-01,"$1,250,000"
286,2018-09-01,"$1,750,000"
286,2018-10-01,"$600,000"
286,2018-12-01,"$1,750,000"
293,2018-01-01,"$100,000"
293,2018-03-01,"$300,000"
293,2018-04-01,"$100,000"
293,2018-06-01,"$400,000"
293,2018-07-01,"$300,000"
293,2018-08-01,"$300,000"
293,2018-11-01,"$350,000"
293,2018-12-01,"$350,000"
277,2018-01-01,"$650,000"
277,2018-02-01,"$1,750,000"
277,2018-03-01,"$1,500,000"
277,2018-04-01,"$750,000"
277,2018-05-01,"$2,000,000"
277,2018-06-01,"$1,500,000"
277,2018-07-01,"$1,850,000"
277,2018-08-01,"$3,200,000"
277,2018-09-01,"$2,850,000"
277,2018-10-01,"$1,700,000"
277,2018-11-01,"$3,000,000"
277,2018-12-01,"$2,000,000"
292,2018-07-01,"$75,000"
292,2018-08-01,"$150,000"
292,2018-10-01,"$50,000"
292,2018-11-01,"$150,000"
292,2018-12-01,"$50,000"
287,2018-01-01,"$100,000"
287,2018-03-01,"$300,000"
287,2018-05-01,"$400,000"
282,2018-01-01,"$100,000"
282,2018-05-01,"$750,000"
282,2018-06-01,"$400,000"
282,2018-07-01,"$800,000"
282,2018-08-01,"$1,200,000"
282,2018-09-01,"$1,200,000"
282,2018-10-01,"$800,000"
282,2018-11-01,"$800,000"
282,2018-12-01,"$800,000"
284,2018-01-01,"$150,000"
284,2018-02-01,"$175,000"
284,2018-04-01,"$225,000"
284,2018-06-01,"$225,000"
288,2018-01-01,"$150,000"
288,2018-02-01,"$175,000"
288,2018-04-01,"$225,000"
288,2018-06-01,"$225,000"
272,2018-01-01,"$650,000"
272,2018-02-01,"$1,750,000"
272,2018-03-01,"$1,500,000"
272,2018-04-01,"$750,000"
272,2018-05-01,"$2,000,000"
272,2018-06-01,"$1,500,000"
272,2018-07-01,"$1,750,000"
272,2018-08-01,"$2,950,000"
272,2018-09-01,"$2,650,000"
272,2018-10-01,"$1,500,000"
272,2018-11-01,"$2,500,000"
272,2018-12-01,"$1,750,000"
283,2018-01-01,"$50,000"
283,2018-02-01,"$150,000"
283,2018-03-01,"$150,000"
283,2018-04-01,"$50,000"
283,2018-08-01,"$300,000"
283,2018-12-01,"$150,000"
291,2018-08-01,"$300,000"
291,2018-09-01,"$400,000"
291,2018-10-01,"$100,000"
291,2018-11-01,"$300,000"
285,2018-01-01,"$150,000"
285,2018-02-01,"$150,000"
285,2018-03-01,"$150,000"
285,2018-04-01,"$150,000"
285,2018-07-01,"$150,000"
281,2018-01-01,"$300,000"
281,2018-02-01,"$400,000"
281,2018-05-01,"$600,000"
281,2018-07-01,"$750,000"
281,2018-08-01,"$850,000"
281,2018-09-01,"$750,000"
281,2018-10-01,"$800,000"
290,2018-08-01,"$300,000"
290,2018-09-01,"$400,000"
290,2018-10-01,"$100,000"
290,2018-11-01,"$300,000"
289,2018-01-01,"$100,000"
289,2018-02-01,"$300,000"
289,2018-04-01,"$100,000"
289,2018-05-01,"$450,000"
289,2018-06-01,"$175,000"
289,2018-07-01,"$300,000"
289,2018-11-01,"$550,000"
289,2018-12-01,"$150,000"
286,2019-01-01,"$800,000"
286,2019-02-01,"$800,000"
286,2019-04-01,"$600,000"
286,2019-05-01,"$1,200,000"
286,2019-06-01,"$800,000"
286,2019-07-01,"$1,200,000"
286,2019-08-01,"$1,400,000"
286,2019-09-01,"$1,500,000"
293,2019-01-01,"$100,000"
293,2019-05-01,"$300,000"
293,2019-06-01,"$300,000"
293,2019-07-01,"$300,000"
293,2019-08-01,"$400,000"
293,2019-10-01,"$300,000"
293,2019-11-01,"$400,000"
277,2019-02-01,"$2,000,000"
277,2019-03-01,"$1,750,000"
277,2019-04-01,"$1,750,000"
277,2019-05-01,"$1,750,000"
277,2019-06-01,"$1,750,000"
277,2019-07-01,"$2,500,000"
277,2019-08-01,"$4,000,000"
277,2019-09-01,"$30,000,000"
277,2019-10-01,"$2,000,000"
277,2019-11-01,"$3,500,000"
277,2019-12-01,"$3,500,000"
292,2019-01-01,"$25,000"
292,2019-02-01,"$50,000"
292,2019-03-01,"$50,000"
292,2019-04-01,"$50,000"
292,2019-05-01,"$100,000"
292,2019-06-01,"$100,000"
292,2019-07-01,"$50,000"
292,2019-08-01,"$700,000"
292,2019-09-01,"$50,000"
292,2019-10-01,"$50,000"
292,2019-12-01,"$100,000"
287,2019-04-01,"$300,000"
287,2019-05-01,"$750,000"
287,2019-06-01,"$650,000"
287,2019-08-01,"$9,000,000"
287,2019-09-01,"$800,000"
287,2019-10-01,"$700,000"
287,2019-11-01,"$600,000"
282,2019-01-01,"$400,000"
282,2019-03-01,"$600,000"
282,2019-04-01,"$700,000"
282,2019-05-01,"$800,000"
282,2019-06-01,"$900,000"
282,2019-09-01,"$900,000"
282,2019-10-01,"$800,000"
282,2019-11-01,"$700,000"
282,2019-12-01,"$600,000"
284,2019-02-01,"$350,000"
284,2019-03-01,"$350,000"
284,2019-04-01,"$450,000"
284,2019-05-01,"$450,000"
284,2019-06-01,"$450,000"
284,2019-08-01,"$550,000"
284,2019-09-01,"$750,000"
284,2019-11-01,"$400,000"
284,2019-12-01,"$650,000"
288,2019-02-01,"$300,000"
288,2019-03-01,"$400,000"
288,2019-04-01,"$450,000"
288,2019-05-01,"$450,000"
288,2019-06-01,"$400,000"
288,2019-09-01,"$600,000"
288,2019-11-01,"$400,000"
294,2019-07-01,"$25,000"
294,2019-08-01,"$50,000"
294,2019-09-01,"$75,000"
294,2019-10-01,"$50,000"
294,2019-11-01,"$100,000"
272,2019-01-01,"$1,250,000"
272,2019-02-01,"$1,500,000"
272,2019-03-01,"$1,500,000"
272,2019-04-01,"$1,750,000"
272,2019-05-01,"$2,000,000"
272,2019-07-01,"$2,000,000"
272,2019-08-01,"$2,500,000"
272,2019-09-01,"$3,000,000"
272,2019-10-01,"$2,000,000"
272,2019-11-01,"$2,500,000"
272,2019-12-01,"$2,500,000"
283,2019-01-01,"$100,000"
283,2019-03-01,"$100,000"
283,2019-04-01,"$100,000"
283,2019-08-01,"$300,000"
283,2019-09-01,"$300,000"
283,2019-10-01,"$100,000"
283,2019-11-01,"$300,000"
283,2019-12-01,"$325,000"
291,2019-01-01,"$50,000"
291,2019-02-01,"$150,000"
291,2019-04-01,"$100,000"
291,2019-05-01,"$150,000"
291,2019-09-01,"$700,000"
291,2019-10-01,"$700,000"
285,2019-01-01,"$100,000"
285,2019-02-01,"$150,000"
285,2019-05-01,"$150,000"
285,2019-06-01,"$100,000"
285,2019-07-01,"$100,000"
285,2019-09-01,"$300,000"
285,2019-10-01,"$100,000"
285,2019-12-01,"$350,000"
296,2019-07-01,"$50,000"
296,2019-08-01,"$50,000"
296,2019-09-01,"$50,000"
296,2019-10-01,"$50,000"
296,2019-11-01,"$75,000"
296,2019-12-01,"$100,000"
281,2019-02-01,"$750,000"
281,2019-04-01,"$750,000"
281,2019-06-01,"$750,000"
295,2019-07-01,"$150,000"
295,2019-08-01,"$300,000"
295,2019-09-01,"$100,000"
295,2019-10-01,"$150,000"
295,2019-11-01,"$150,000"
290,2019-01-01,"$50,000"
290,2019-02-01,"$150,000"
290,2019-04-01,"$100,000"
290,2019-05-01,"$150,000"
290,2019-07-01,"$300,000"
290,2019-11-01,"$800,000"
289,2019-01-01,"$100,000"
289,2019-02-01,"$300,000"
289,2019-04-01,"$150,000"
289,2019-05-01,"$350,000"
289,2019-06-01,"$150,000"
289,2019-07-01,"$300,000"
289,2019-08-01,"$850,000"
289,2019-11-01,"$400,000"
289,2019-12-01,"$600,000"
286,2020-01-01,"$850,000"
286,2020-02-01,"$950,000"
286,2020-03-01,"$1,050,000"
286,2020-04-01,"$950,000"
286,2020-05-01,"$850,000"
286,2020-06-01,"$1,250,000"
286,2020-07-01,"$1,250,000"
286,2020-08-01,"$1,500,000"
286,2020-09-01,"$1,750,000"
293,2020-01-01,"$300,000"
293,2020-02-01,"$400,000"
293,2020-03-01,"$400,000"
277,2020-01-01,"$1,500,000"
277,2020-02-01,"$2,000,000"
277,2020-03-01,"$2,500,000"
277,2020-04-01,"$2,000,000"
277,2020-05-01,"$3,000,000"
277,2020-06-01,"$3,500,000"
277,2020-07-01,"$2,750,000"
277,2020-08-01,"$4,500,000"
277,2020-09-01,"$33,000,000"
277,2020-10-01,"$2,250,000"
277,2020-11-01,"$3,750,000"
277,2020-12-01,"$3,750,000"
292,2020-02-01,"$300,000"
292,2020-04-01,"$300,000"
292,2020-06-01,"$300,000"
292,2020-08-01,"$750,000"
287,2020-01-01,"$400,000"
287,2020-03-01,"$600,000"
287,2020-04-01,"$700,000"
287,2020-05-01,"$800,000"
287,2020-06-01,"$900,000"
287,2020-08-01,"$10,000,000"
287,2020-10-01,"$750,000"
287,2020-11-01,"$750,000"
282,2020-02-01,"$600,000"
282,2020-03-01,"$800,000"
282,2020-04-01,"$900,000"
282,2020-06-01,"$850,000"
282,2020-11-01,"$750,000"
282,2020-12-01,"$750,000"
284,2020-02-01,"$300,000"
284,2020-03-01,"$400,000"
284,2020-05-01,"$400,000"
284,2020-06-01,"$300,000"
284,2020-09-01,"$750,000"
284,2020-12-01,"$750,000"
288,2020-02-01,"$300,000"
288,2020-03-01,"$350,000"
288,2020-04-01,"$400,000"
288,2020-05-01,"$450,000"
288,2020-09-01,"$750,000"
294,2020-01-01,"$25,000"
294,2020-02-01,"$50,000"
294,2020-03-01,"$100,000"
294,2020-04-01,"$100,000"
294,2020-05-01,"$100,000"
294,2020-06-01,"$150,000"
272,2020-01-01,"$1,250,000"
272,2020-02-01,"$1,500,000"
272,2020-03-01,"$2,000,000"
272,2020-04-01,"$2,000,000"
272,2020-05-01,"$2,500,000"
272,2020-06-01,"$2,500,000"
272,2020-07-01,"$2,250,000"
272,2020-08-01,"$2,750,000"
272,2020-09-01,"$3,250,000"
272,2020-10-01,"$2,250,000"
272,2020-11-01,"$2,750,000"
272,2020-12-01,"$2,750,000"
283,2020-01-01,"$100,000"
283,2020-05-01,"$300,000"
283,2020-06-01,"$300,000"
291,2020-01-01,"$50,000"
291,2020-04-01,"$100,000"
291,2020-05-01,"$750,000"
291,2020-06-01,"$750,000"
291,2020-09-01,"$750,000"
291,2020-10-01,"$750,000"
296,2020-01-01,"$100,000"
296,2020-02-01,"$10,000"
296,2020-03-01,"$100,000"
296,2020-04-01,"$100,000"
296,2020-05-01,"$100,000"
296,2020-06-01,"$100,000"
281,2020-01-01,"$300,000"
281,2020-02-01,"$400,000"
281,2020-04-01,"$600,000"
281,2020-05-01,"$700,000"
281,2020-06-01,"$800,000"
295,2020-01-01,"$100,000"
295,2020-02-01,"$150,000"
295,2020-03-01,"$150,000"
295,2020-04-01,"$150,000"
295,2020-05-01,"$150,000"
290,2020-04-01,"$750,000"
289,2020-02-01,"$350,000"
289,2020-03-01,"$450,000"
289,2020-04-01,"$400,000"
289,2020-06-01,"$600,000"
289,2020-12-01,"$750,000"
286,2021-06-01,"$1,500,000"
286,2021-07-01,"$1,500,000"
286,2021-08-01,"$1,500,000"
286,2021-09-01,"$2,000,000"
277,2021-01-01,"$1,500,000"
277,2021-02-01,"$2,000,000"
277,2021-03-01,"$3,000,000"
277,2021-04-01,"$2,000,000"
277,2021-05-01,"$3,500,000"
277,2021-06-01,"$4,000,000"
277,2021-07-01,"$3,000,000"
277,2021-08-01,"$5,000,000"
277,2021-09-01,"$36,500,000"
277,2021-10-01,"$2,500,000"
277,2021-11-01,"$4,000,000"
277,2021-12-01,"$4,000,000"
287,2021-08-01,"$11,000,000"
294,2021-01-01,"$25,000"
294,2021-02-01,"$50,000"
294,2021-03-01,"$75,000"
294,2021-04-01,"$100,000"
294,2021-05-01,"$125,000"
294,2021-06-01,"$150,000"
272,2021-01-01,"$1,500,000"
272,2021-02-01,"$1,500,000"
272,2021-03-01,"$2,000,000"
272,2021-04-01,"$2,000,000"
272,2021-05-01,"$3,000,000"
272,2021-06-01,"$3,000,000"
272,2021-07-01,"$2,500,000"
272,2021-08-01,"$3,000,000"
272,2021-09-01,"$3,500,000"
272,2021-10-01,"$2,500,000"
272,2021-11-01,"$3,000,000"
272,2021-12-01,"$3,000,000"
291,2021-04-01,"$75,000"
296,2021-01-01,"$75,000"
296,2021-02-01,"$100,000"
296,2021-03-01,"$125,000"
296,2021-04-01,"$150,000"
296,2021-05-01,"$175,000"
295,2021-01-01,"$50,000"
295,2021-02-01,"$75,000"
295,2021-03-01,"$100,000"
295,2021-04-01,"$125,000"
295,2021-05-01,"$150,000"
295,2021-06-01,"$175,000"
