"sales_key","sales_order_number","order_date","product_key","reseller_key","employee_key","sales_teritory_key","quantity","unit_price","sales","cost"
44,SO50294,2019-05-25,411,312,282,4,"2",$125.42,$250.84,$185.61
45,SO50294,2019-05-25,224,312,282,4,"2",$5.19,$10.38,$10.46
46,SO50294,2019-05-25,213,312,282,4,"2",$20.19,$40.38,$27.76
47,SO50294,2019-05-25,297,312,282,4,"2",$736.15,"$1,472.3","$1,307.39"
48,SO50294,2019-05-25,419,312,282,4,"2",$52.65,$105.3,$77.92
49,SO50294,2019-05-25,428,312,282,4,"2",$209.26,$418.52,$371.64
50,SO50294,2019-05-25,236,312,282,4,"2",$28.84,$57.68,$58.16
51,SO50294,2019-05-25,360,312,282,4,"2","$1,229.46","$2,458.92","$2,211.62"
52,SO50294,2019-05-25,366,312,282,4,"2",$647.99,"$1,295.98","$1,196.87"
53,SO50294,2019-05-25,401,312,282,4,"2",$65.6,$131.2,$97.09
54,SO50294,2019-05-25,421,312,282,4,"2",$196.33,$392.66,$290.57
55,SO50294,2019-05-25,448,312,282,4,"2",$11.99,$23.98,$16.49
56,SO50294,2019-05-25,308,312,282,4,"2",$744.27,"$1,488.54","$1,321.83"
57,SO50294,2019-05-25,233,312,282,4,"2",$28.84,$57.68,$58.16
58,SO50294,2019-05-25,399,312,282,4,"2",$33.77,$67.54,$49.99
59,SO51845,2019-08-27,591,312,282,4,"2",$338.99,$677.98,$616.44
60,SO51845,2019-08-27,525,312,282,4,"2",$158.43,$316.86,$289.19
61,SO51845,2019-08-27,588,312,282,4,"2",$461.69,$923.38,$839.56
62,SO51845,2019-08-27,363,312,282,4,"2","$1,376.99","$2,753.98","$2,503.96"
63,SO51845,2019-08-27,309,312,282,4,"2",$818.7,"$1,637.4","$1,494.4"
64,SO51845,2019-08-27,531,312,282,4,"2",$149.87,$299.74,$273.57
65,SO51845,2019-08-27,513,312,282,4,"2",$218.45,$436.9,$398.75
66,SO51845,2019-08-27,542,312,282,4,"2",$24.29,$48.58,$35.96
67,SO57144,2019-11-22,598,312,282,4,"2",$323.99,$647.98,$589.16
68,SO57144,2019-11-22,359,312,282,4,"2","$1,376.99","$2,753.98","$2,503.96"
69,SO57144,2019-11-22,361,312,282,4,"2","$1,376.99","$2,753.98","$2,503.96"
70,SO57144,2019-11-22,400,312,282,4,"2",$37.15,$74.3,$54.99
71,SO57144,2019-11-22,542,312,282,4,"2",$24.29,$48.58,$35.96
72,SO57144,2019-11-22,588,312,282,4,"2",$461.69,$923.38,$839.56
73,SO57144,2019-11-22,594,312,282,4,"2",$338.99,$677.98,$616.44
74,SO57144,2019-11-22,511,312,282,4,"2",$218.45,$436.9,$398.75
75,SO57144,2019-11-22,477,312,282,4,"2",$2.99,$5.98,$3.73
76,SO63283,2020-02-27,483,312,282,4,"2",$72,$144,$89.76
77,SO63283,2020-02-27,363,312,282,4,"2","$1,376.99","$2,753.98","$2,503.96"
78,SO63283,2020-02-27,598,312,282,4,"2",$323.99,$647.98,$589.16
79,SO63283,2020-02-27,359,312,282,4,"2","$1,376.99","$2,753.98","$2,503.96"
80,SO63283,2020-02-27,491,312,282,4,"2",$32.39,$64.78,$83.14
81,SO63283,2020-02-27,471,312,282,4,"2",$38.1,$76.2,$47.5
82,SO63283,2020-02-27,353,312,282,4,"2","$1,391.99","$2,783.98","$2,531.24"
83,SO69532,2020-05-27,402,312,282,4,"2",$72.16,$144.32,$106.8
84,SO69532,2020-05-27,222,312,282,4,"2",$20.99,$41.98,$26.17
85,SO69532,2020-05-27,231,312,282,4,"2",$29.99,$59.98,$76.98
86,SO69532,2020-05-27,542,312,282,4,"2",$24.29,$48.58,$35.96
87,SO69532,2020-05-27,532,312,282,4,"2",$149.87,$299.74,$273.57
88,SO69532,2020-05-27,359,312,282,4,"2","$1,376.99","$2,753.98","$2,503.96"
89,SO69532,2020-05-27,398,312,282,4,"2",$26.72,$53.44,$39.55
90,SO69532,2020-05-27,592,312,282,4,"2",$113,$226,$616.44
91,SO69532,2020-05-27,475,312,282,4,"2",$41.99,$83.98,$52.35
92,SO69532,2020-05-27,513,312,282,4,"2",$218.45,$436.9,$398.75
93,SO44113,2017-09-23,218,187,282,4,"2",$5.7,$11.4,$6.79
94,SO44113,2017-09-23,347,187,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
95,SO44113,2017-09-23,223,187,282,4,"2",$5.19,$10.38,$11.41
96,SO44113,2017-09-23,344,187,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
97,SO44113,2017-09-23,220,187,282,4,"2",$20.19,$40.38,$24.06
98,SO44113,2017-09-23,304,187,282,4,"2",$714.7,"$1,429.4","$1,234.06"
99,SO44113,2017-09-23,235,187,282,4,"2",$28.84,$57.68,$63.45
100,SO44776,2017-12-23,349,187,282,4,"2","$2,024.99","$4,049.98","$3,796.19"
101,SO44776,2017-12-23,215,187,282,4,"2",$20.19,$40.38,$24.06
102,SO44776,2017-12-23,293,187,282,4,"2",$722.59,"$1,445.18","$1,247.68"
103,SO44776,2017-12-23,220,187,282,4,"2",$20.19,$40.38,$24.06
104,SO44776,2017-12-23,348,187,282,4,"2","$2,024.99","$4,049.98","$3,796.19"
105,SO44776,2017-12-23,212,187,282,4,"2",$20.19,$40.38,$24.06
106,SO44776,2017-12-23,232,187,282,4,"2",$28.84,$57.68,$63.45
107,SO45554,2018-03-17,350,187,282,4,"2","$2,024.99","$4,049.98","$3,796.19"
108,SO45554,2018-03-17,345,187,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
109,SO45554,2018-03-17,220,187,282,4,"2",$20.19,$40.38,$24.06
110,SO45554,2018-03-17,223,187,282,4,"2",$5.19,$10.38,$11.41
111,SO45554,2018-03-17,344,187,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
112,SO46362,2018-06-18,292,187,282,4,"2",$818.7,"$1,637.4","$1,413.62"
113,SO46362,2018-06-18,346,187,282,4,"2",$850,"$1,700","$3,824.31"
114,SO46362,2018-06-18,232,187,282,4,"2",$28.84,$57.68,$63.45
115,SO47417,2018-09-18,421,187,282,4,"2",$196.33,$392.66,$290.57
116,SO47417,2018-09-18,468,187,282,4,"2",$22.79,$45.58,$31.34
117,SO47417,2018-09-18,428,187,282,4,"2",$209.26,$418.52,$371.64
118,SO47417,2018-09-18,297,187,282,4,"2",$736.15,"$1,472.3","$1,307.39"
119,SO47417,2018-09-18,294,187,282,4,"2",$744.27,"$1,488.54","$1,321.83"
120,SO47417,2018-09-18,356,187,282,4,"2","$1,242.85","$2,485.7","$2,235.71"
121,SO47417,2018-09-18,391,187,282,4,"2",$88.93,$177.86,$131.62
122,SO47417,2018-09-18,305,187,282,4,"2",$736.15,"$1,472.3","$1,307.39"
123,SO47417,2018-09-18,394,187,282,4,"2",$20.52,$41.04,$30.37
124,SO48356,2018-12-21,294,187,282,4,"2",$744.27,"$1,488.54","$1,321.83"
125,SO48356,2018-12-21,362,187,282,4,"2","$1,229.46","$2,458.92","$2,211.62"
126,SO48356,2018-12-21,358,187,282,4,"2","$1,229.46","$2,458.92","$2,211.62"
127,SO49472,2019-03-08,354,187,282,4,"2","$1,242.85","$2,485.7","$2,235.71"
128,SO49472,2019-03-08,397,187,282,4,"2",$24.29,$48.58,$35.96
129,SO49472,2019-03-08,393,187,282,4,"2",$137.69,$275.38,$203.79
130,SO49472,2019-03-08,420,187,282,4,"2",$141.62,$283.24,$209.59
131,SO49472,2019-03-08,356,187,282,4,"2","$1,242.85","$2,485.7","$2,235.71"
132,SO49472,2019-03-08,360,187,282,4,"2","$1,229.46","$2,458.92","$2,211.62"
133,SO50702,2019-06-14,366,187,282,4,"2",$647.99,"$1,295.98","$1,196.87"
134,SO50702,2019-06-14,427,187,282,4,"2",$209.26,$418.52,$371.64
135,SO50702,2019-06-14,305,187,282,4,"2",$736.15,"$1,472.3","$1,307.39"
136,SO50702,2019-06-14,356,187,282,4,"2","$1,242.85","$2,485.7","$2,235.71"
137,SO50702,2019-06-14,469,187,282,4,"2",$22.79,$45.58,$31.34
138,SO53531,2019-09-15,597,187,282,4,"2",$323.99,$647.98,$589.16
139,SO53531,2019-09-15,475,187,282,4,"2",$41.99,$83.98,$52.35
140,SO53531,2019-09-15,552,187,282,4,"2",$54.89,$109.78,$81.24
141,SO53531,2019-09-15,295,187,282,4,"2",$818.7,"$1,637.4","$1,494.4"
142,SO53531,2019-09-15,542,187,282,4,"2",$24.29,$48.58,$35.96
143,SO53531,2019-09-15,516,187,282,4,"2",$23.48,$46.96,$34.76
144,SO53531,2019-09-15,532,187,282,4,"2",$149.87,$299.74,$273.57
145,SO53531,2019-09-15,514,187,282,4,"2",$63.9,$127.8,$94.57
146,SO53531,2019-09-15,531,187,282,4,"2",$149.87,$299.74,$273.57
147,SO53531,2019-09-15,524,187,282,4,"2",$158.43,$316.86,$289.19
148,SO53531,2019-09-15,558,187,282,4,"2",$242.99,$485.98,$359.63
149,SO53531,2019-09-15,363,187,282,4,"2","$1,376.99","$2,753.98","$2,503.96"
150,SO53531,2019-09-15,592,187,282,4,"2",$338.99,$677.98,$616.44
151,SO53531,2019-09-15,298,187,282,4,"2",$809.76,"$1,619.52","$1,478.08"
152,SO58975,2019-12-13,355,187,282,4,"2","$1,391.99","$2,783.98","$2,531.24"
153,SO58975,2019-12-13,306,187,282,4,"2",$809.76,"$1,619.52","$1,478.08"
154,SO58975,2019-12-13,501,187,282,4,"2",$72.88,$145.76,$107.86
155,SO58975,2019-12-13,601,187,282,4,"2",$32.39,$64.78,$47.94
156,SO58975,2019-12-13,400,187,282,4,"2",$37.15,$74.3,$54.99
157,SO58975,2019-12-13,359,187,282,4,"2","$1,376.99","$2,753.98","$2,503.96"
158,SO58975,2019-12-13,517,187,282,4,"2",$31.58,$63.16,$46.74
159,SO65209,2020-03-10,551,187,282,4,"2",$158.43,$316.86,$289.19
160,SO65209,2020-03-10,544,187,282,4,"2",$48.59,$97.18,$71.92
161,SO65209,2020-03-10,531,187,282,4,"2",$149.87,$299.74,$273.57
162,SO65209,2020-03-10,555,187,282,4,"2",$63.9,$127.8,$94.57
163,SO65209,2020-03-10,474,187,282,4,"2",$41.99,$83.98,$52.35
164,SO65209,2020-03-10,532,187,282,4,"2",$149.87,$299.74,$273.57
165,SO65209,2020-03-10,398,187,282,4,"2",$26.72,$53.44,$39.55
166,SO46625,2018-07-09,468,475,282,4,"2",$22.79,$45.58,$31.34
167,SO46625,2018-07-09,410,475,282,4,"2",$36.45,$72.9,$53.94
168,SO46625,2018-07-09,409,475,282,4,"2",$209.26,$418.52,$371.64
169,SO46625,2018-07-09,352,475,282,4,"2","$1,242.85","$2,485.7","$2,235.71"
170,SO46625,2018-07-09,396,475,282,4,"2",$74.84,$149.68,$110.76
171,SO46625,2018-07-09,393,475,282,4,"2",$137.69,$275.38,$203.79
172,SO46625,2018-07-09,427,475,282,4,"2",$209.26,$418.52,$371.64
173,SO47677,2018-10-05,354,475,282,4,"2","$1,242.85","$2,485.7","$2,235.71"
174,SO47677,2018-10-05,459,475,282,4,"2",$53.99,$107.98,$74.24
175,SO47677,2018-10-05,421,475,282,4,"2",$196.33,$392.66,$290.57
176,SO47677,2018-10-05,393,475,282,4,"2",$137.69,$275.38,$203.79
177,SO47677,2018-10-05,294,475,282,4,"2",$744.27,"$1,488.54","$1,321.83"
178,SO47677,2018-10-05,358,475,282,4,"2","$1,229.46","$2,458.92","$2,211.62"
179,SO47677,2018-10-05,297,475,282,4,"2",$736.15,"$1,472.3","$1,307.39"
180,SO47677,2018-10-05,464,475,282,4,"2",$14.13,$28.26,$19.43
181,SO47677,2018-10-05,396,475,282,4,"2",$74.84,$149.68,$110.76
182,SO47677,2018-10-05,305,475,282,4,"2",$736.15,"$1,472.3","$1,307.39"
183,SO47677,2018-10-05,289,475,282,4,"2",$744.27,"$1,488.54","$1,321.83"
184,SO47677,2018-10-05,458,475,282,4,"2",$44.99,$89.98,$61.87
185,SO48758,2019-01-15,445,475,282,4,"2",$35.99,$71.98,$49.49
186,SO48758,2019-01-15,427,475,282,4,"2",$209.26,$418.52,$371.64
187,SO48758,2019-01-15,358,475,282,4,"2","$1,229.46","$2,458.92","$2,211.62"
188,SO48758,2019-01-15,366,475,282,4,"2",$647.99,"$1,295.98","$1,196.87"
189,SO48758,2019-01-15,397,475,282,4,"2",$24.29,$48.58,$35.96
190,SO48758,2019-01-15,352,475,282,4,"2","$1,242.85","$2,485.7","$2,235.71"
191,SO49831,2019-04-04,445,475,282,4,"2",$35.99,$71.98,$49.49
192,SO49831,2019-04-04,466,475,282,4,"2",$14.13,$28.26,$19.43
193,SO49831,2019-04-04,457,475,282,4,"2",$44.99,$89.98,$61.87
194,SO49831,2019-04-04,360,475,282,4,"2","$1,229.46","$2,458.92","$2,211.62"
195,SO49831,2019-04-04,447,475,282,4,"2",$15,$30,$20.63
196,SO49831,2019-04-04,393,475,282,4,"2",$137.69,$275.38,$203.79
197,SO49831,2019-04-04,397,475,282,4,"2",$24.29,$48.58,$35.96
198,SO49831,2019-04-04,453,475,282,4,"2",$35.99,$71.98,$49.49
199,SO49831,2019-04-04,297,475,282,4,"2",$736.15,"$1,472.3","$1,307.39"
200,SO49831,2019-04-04,367,475,282,4,"2",$647.99,"$1,295.98","$1,196.87"
201,SO49831,2019-04-04,364,475,282,4,"2",$647.99,"$1,295.98","$1,196.87"
202,SO51090,2019-07-03,516,475,282,4,"2",$23.48,$46.96,$34.76
203,SO51090,2019-07-03,559,475,282,4,"2",$12.14,$24.28,$17.97
204,SO51090,2019-07-03,594,475,282,4,"2",$338.99,$677.98,$616.44
205,SO51090,2019-07-03,511,475,282,4,"2",$218.45,$436.9,$398.75
206,SO51090,2019-07-03,357,475,282,4,"2","$1,391.99","$2,783.98","$2,531.24"
207,SO51090,2019-07-03,524,475,282,4,"2",$158.43,$316.86,$289.19
208,SO51090,2019-07-03,475,475,282,4,"2",$41.99,$83.98,$52.35
209,SO51090,2019-07-03,290,475,282,4,"2",$818.7,"$1,637.4","$1,494.4"
210,SO51090,2019-07-03,467,475,282,4,"2",$14.69,$29.38,$18.32
211,SO51090,2019-07-03,532,475,282,4,"2",$149.87,$299.74,$273.57
212,SO51090,2019-07-03,542,475,282,4,"2",$24.29,$48.58,$35.96
213,SO55249,2019-10-06,514,475,282,4,"2",$63.9,$127.8,$94.57
214,SO55249,2019-10-06,357,475,282,4,"2","$1,391.99","$2,783.98","$2,531.24"
215,SO55249,2019-10-06,355,475,282,4,"2","$1,391.99","$2,783.98","$2,531.24"
216,SO55249,2019-10-06,398,475,282,4,"2",$26.72,$53.44,$39.55
217,SO55249,2019-10-06,543,475,282,4,"2",$37.25,$74.5,$55.14
218,SO55249,2019-10-06,463,475,282,4,"2",$14.69,$29.38,$18.32
219,SO55249,2019-10-06,542,475,282,4,"2",$24.29,$48.58,$35.96
220,SO55249,2019-10-06,594,475,282,4,"2",$338.99,$677.98,$616.44
221,SO55249,2019-10-06,512,475,282,4,"2",$218.45,$436.9,$398.75
222,SO61218,2020-01-16,512,475,282,4,"2",$218.45,$436.9,$398.75
223,SO61218,2020-01-16,475,475,282,4,"2",$41.99,$83.98,$52.35
224,SO61218,2020-01-16,555,475,282,4,"2",$63.9,$127.8,$94.57
225,SO61218,2020-01-16,361,475,282,4,"2","$1,376.99","$2,753.98","$2,503.96"
226,SO61218,2020-01-16,524,475,282,4,"2",$158.43,$316.86,$289.19
227,SO61218,2020-01-16,398,475,282,4,"2",$26.72,$53.44,$39.55
228,SO61218,2020-01-16,474,475,282,4,"2",$41.99,$83.98,$52.35
229,SO67273,2020-04-07,295,475,282,4,"2",$818.7,"$1,637.4","$1,494.4"
230,SO67273,2020-04-07,551,475,282,4,"2",$158.43,$316.86,$289.19
231,SO67273,2020-04-07,491,475,282,4,"2",$32.39,$64.78,$83.14
232,SO67273,2020-04-07,515,475,282,4,"2",$16.27,$32.54,$24.08
233,SO67273,2020-04-07,558,475,282,4,"2",$242.99,$485.98,$359.63
234,SO67273,2020-04-07,217,475,282,4,"2",$20.99,$41.98,$26.17
235,SO67273,2020-04-07,400,475,282,4,"2",$37.15,$74.3,$54.99
236,SO67273,2020-04-07,517,475,282,4,"2",$31.58,$63.16,$46.74
237,SO43873,2017-08-19,330,78,282,4,"2",$419.46,$838.92,$826.29
238,SO43873,2017-08-19,310,78,282,4,"2","$2,146.96","$4,293.92","$4,342.59"
239,SO43873,2017-08-19,338,78,282,4,"2",$419.46,$838.92,$826.29
240,SO43873,2017-08-19,220,78,282,4,"2",$20.19,$40.38,$24.06
241,SO43873,2017-08-19,262,78,282,4,"2",$183.94,$367.88,$362.97
242,SO43873,2017-08-19,314,78,282,4,"2","$2,146.96","$4,293.92","$4,342.59"
243,SO44520,2017-11-13,316,78,282,4,"2",$874.79,"$1,749.58","$1,769.42"
244,SO44520,2017-11-13,238,78,282,4,"2",$758.08,"$1,516.16","$1,495.94"
245,SO44520,2017-11-13,336,78,282,4,"2",$419.46,$838.92,$826.29
246,SO44520,2017-11-13,275,78,282,4,"2",$356.9,$713.8,$704.28
247,SO44520,2017-11-13,340,78,282,4,"2",$419.46,$838.92,$826.29
248,SO44520,2017-11-13,235,78,282,4,"2",$28.84,$57.68,$63.45
249,SO44520,2017-11-13,253,78,282,4,"2",$178.58,$357.16,$352.4
250,SO44520,2017-11-13,334,78,282,4,"2",$419.46,$838.92,$826.29
251,SO44520,2017-11-13,330,78,282,4,"2",$419.46,$838.92,$826.29
252,SO45301,2018-02-15,322,78,282,4,"2",$419.46,$838.92,$826.29
253,SO45301,2018-02-15,315,78,282,4,"2",$874.79,"$1,749.58","$1,769.42"
254,SO45301,2018-02-15,314,78,282,4,"2","$2,146.96","$4,293.92","$4,342.59"
255,SO45301,2018-02-15,326,78,282,4,"2",$419.46,$838.92,$826.29
256,SO45301,2018-02-15,317,78,282,4,"2",$874.79,"$1,749.58","$1,769.42"
257,SO45301,2018-02-15,285,78,282,4,"2",$178.58,$357.16,$352.4
258,SO45301,2018-02-15,330,78,282,4,"2",$419.46,$838.92,$826.29
259,SO45301,2018-02-15,223,78,282,4,"2",$5.19,$10.38,$11.41
260,SO45301,2018-02-15,319,78,282,4,"2",$874.79,"$1,749.58","$1,769.42"
261,SO46057,2018-05-15,279,78,282,4,"2",$178.58,$357.16,$352.4
262,SO46057,2018-05-15,235,78,282,4,"2",$28.84,$57.68,$63.45
263,SO46057,2018-05-15,253,78,282,4,"2",$178.58,$357.16,$352.4
264,SO46057,2018-05-15,334,78,282,4,"2",$419.46,$838.92,$826.29
265,SO46057,2018-05-15,314,78,282,4,"2","$2,146.96","$4,293.92","$4,342.59"
266,SO46057,2018-05-15,232,78,282,4,"2",$28.84,$57.68,$63.45
267,SO46988,2018-08-14,423,78,282,4,"2",$165.23,$330.46,$244.54
268,SO46988,2018-08-14,445,78,282,4,"2",$35.99,$71.98,$49.49
269,SO46988,2018-08-14,280,78,282,4,"2",$183.94,$367.88,$340.29
270,SO46988,2018-08-14,286,78,282,4,"2",$183.94,$367.88,$340.29
271,SO46988,2018-08-14,236,78,282,4,"2",$28.84,$57.68,$58.16
272,SO46988,2018-08-14,265,78,282,4,"2",$202.33,$404.66,$374.31
273,SO46988,2018-08-14,254,78,282,4,"2",$183.94,$367.88,$340.29
274,SO46988,2018-08-14,383,78,282,4,"2",$600.26,"$1,200.52","$1,211.3"
275,SO46988,2018-08-14,389,78,282,4,"2",$600.26,"$1,200.52","$1,211.3"
276,SO46988,2018-08-14,415,78,282,4,"2",$198.04,$396.08,$293.09
277,SO46988,2018-08-14,433,78,282,4,"2",$324.45,$648.9,$600.24
278,SO46988,2018-08-14,245,78,282,4,"2",$780.82,"$1,561.64","$1,444.51"
279,SO46988,2018-08-14,403,78,282,4,"2",$24.29,$48.58,$35.96
280,SO48012,2018-11-13,373,78,282,4,"2","$1,308.94","$2,617.88","$2,641.37"
281,SO48012,2018-11-13,429,78,282,4,"2",$324.45,$648.9,$600.24
282,SO48012,2018-11-13,375,78,282,4,"2","$1,308.94","$2,617.88","$2,641.37"
283,SO48012,2018-11-13,254,78,282,4,"2",$183.94,$367.88,$340.29
284,SO48012,2018-11-13,439,78,282,4,"2",$780.82,"$1,561.64","$1,444.51"
285,SO48012,2018-11-13,414,78,282,4,"2",$149.03,$298.06,$220.57
286,SO48012,2018-11-13,242,78,282,4,"2",$780.82,"$1,561.64","$1,444.51"
287,SO48012,2018-11-13,273,78,282,4,"2",$202.33,$404.66,$374.31
288,SO49058,2019-02-04,381,78,282,4,"2",$600.26,"$1,200.52","$1,211.3"
289,SO49058,2019-02-04,271,78,282,4,"2",$202.33,$404.66,$374.31
290,SO49058,2019-02-04,375,78,282,4,"2","$1,308.94","$2,617.88","$2,641.37"
291,SO49058,2019-02-04,454,78,282,4,"2",$35.99,$71.98,$49.49
292,SO50226,2019-05-10,286,78,282,4,"2",$183.94,$367.88,$340.29
293,SO50226,2019-05-10,265,78,282,4,"2",$202.33,$404.66,$374.31
294,SO50226,2019-05-10,462,78,282,4,"2",$14.13,$28.26,$19.43
295,SO50226,2019-05-10,368,78,282,4,"2","$1,466.01","$2,932.02","$3,037.57"
296,SO50226,2019-05-10,224,78,282,4,"2",$5.19,$10.38,$10.46
297,SO50226,2019-05-10,422,78,282,4,"2",$67.54,$135.08,$99.96
298,SO50226,2019-05-10,385,78,282,4,"2",$600.26,"$1,200.52","$1,211.3"
299,SO50226,2019-05-10,461,78,282,4,"2",$53.99,$107.98,$74.24
300,SO50226,2019-05-10,381,78,282,4,"2",$600.26,"$1,200.52","$1,211.3"
301,SO50226,2019-05-10,466,78,282,4,"2",$14.13,$28.26,$19.43
302,SO50226,2019-05-10,230,78,282,4,"2",$28.84,$57.68,$58.16
303,SO43666,2017-07-05,338,511,282,4,"2",$419.46,$838.92,$826.3
304,SO43859,2017-08-08,322,259,282,4,"2",$419.46,$838.92,$826.29
305,SO43864,2017-08-12,292,384,282,4,"2",$818.7,"$1,637.4","$1,413.62"
306,SO43864,2017-08-12,351,384,282,4,"2","$2,024.99","$4,049.98","$3,796.19"
307,SO43864,2017-08-12,344,384,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
308,SO43872,2017-08-16,317,240,282,4,"2",$874.79,"$1,749.58","$1,769.42"
309,SO43872,2017-08-16,220,240,282,4,"2",$20.19,$40.38,$24.06
310,SO43872,2017-08-16,262,240,282,4,"2",$183.94,$367.88,$362.97
311,SO43872,2017-08-16,315,240,282,4,"2",$874.79,"$1,749.58","$1,769.42"
312,SO43901,2017-08-26,344,385,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
313,SO43901,2017-08-26,212,385,282,4,"2",$20.19,$40.38,$24.06
314,SO43901,2017-08-26,348,385,282,4,"2","$2,024.99","$4,049.98","$3,796.19"
315,SO43912,2017-08-29,229,403,282,4,"2",$28.84,$57.68,$63.45
316,SO43912,2017-08-29,262,403,282,4,"2",$183.94,$367.88,$362.97
317,SO43912,2017-08-29,332,403,282,4,"2",$419.46,$838.92,$826.29
318,SO43912,2017-08-29,212,403,282,4,"2",$20.19,$40.38,$24.06
319,SO43912,2017-08-29,342,403,282,4,"2",$419.46,$838.92,$826.29
320,SO44080,2017-09-06,218,439,282,4,"2",$5.7,$11.4,$6.79
321,SO44087,2017-09-09,310,96,282,4,"2","$2,146.96","$4,293.92","$4,342.59"
322,SO44087,2017-09-09,276,96,282,4,"2",$356.9,$713.8,$704.28
323,SO44089,2017-09-10,342,114,282,4,"2",$419.46,$838.92,$826.29
324,SO44089,2017-09-10,326,114,282,4,"2",$419.46,$838.92,$826.29
325,SO44115,2017-09-23,350,366,282,4,"2","$2,024.99","$4,049.98","$3,796.19"
326,SO44115,2017-09-23,344,366,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
327,SO44115,2017-09-23,235,366,282,4,"2",$28.84,$57.68,$63.45
328,SO44115,2017-09-23,223,366,282,4,"2",$5.19,$10.38,$11.41
